d,d_B_mean,d_B_std,survival_mean,survival_std,status
10,3.814697265625e-07,4.6720309119857374e-07,0.49000000000000005,5.551115123125783e-17,pass
50,4.9591064453125e-06,7.136645101116068e-07,0.49000000000000005,5.551115123125783e-17,pass
100,9.5367431640625e-06,6.03156597169567e-07,0.49000000000000005,5.551115123125783e-17,pass
500,5.30242919921875e-05,4.0729821212888e-06,0.49000000000000005,5.551115123125783e-17,pass
1000,0.0001094818115234375,1.2651919518872832e-06,0.492,0.0,pass
