d,d_B_mean,d_B_std,survival_mean,survival_std,status
10,0.0,0.0,0.49000000000000005,5.551115123125783e-17,pass
50,0.0,0.0,0.49000000000000005,5.551115123125783e-17,pass
100,0.0,0.0,0.49000000000000005,5.551115123125783e-17,pass
500,0.0,0.0,0.49000000000000005,5.551115123125783e-17,pass
1000,0.0,0.0,0.49000000000000005,5.551115123125783e-17,pass
