alpha,trial,clean_survival,outlier_survival,overall_survival,dB_H1,n_survivors
0.4,2,0.686,0.006006006006006006,0.4141656662665066,0.3241903819143772,345
0.4,3,0.732,0.012012012012012012,0.44417767106842737,0.22378388419747353,370
0.4,4,0.72,0.015015015015015015,0.4381752701080432,0.31938374415040016,365
0.4,5,0.706,0.009009009009009009,0.42737094837935174,0.3419083096086979,356
0.4,6,0.704,0.003003003003003003,0.4237695078031212,0.4350998140871525,353
0.4,7,0.704,0.003003003003003003,0.4237695078031212,0.25033659115433693,353
0.4,8,0.676,0.018018018018018018,0.4129651860744298,0.4969957806169987,344
0.4,9,0.712,0.006006006006006006,0.4297719087635054,0.2596604563295841,358
0.45,0,0.816,0.022004889975550123,0.45874587458745875,0.22984692826867104,417
0.45,1,0.816,0.017114914425427872,0.45654565456545654,0.12836285308003426,415
0.45,2,0.826,0.009779951100244499,0.45874587458745875,0.1799449808895588,417
0.45,3,0.812,0.014669926650366748,0.45324532453245325,0.22378388419747353,412
0.45,4,0.822,0.014669926650366748,0.45874587458745875,0.1996573843061924,417
0.45,5,0.83,0.012224938875305624,0.46204620462046203,0.14135581627488136,420
0.45,6,0.806,0.012224938875305624,0.44884488448844884,0.200827706605196,408
0.45,7,0.794,0.012224938875305624,0.44224422442244227,0.20388177409768105,402
0.45,8,0.834,0.022004889975550123,0.46864686468646866,0.1811687834560871,426
0.45,9,0.816,0.007334963325183374,0.4521452145214521,0.18625802174210548,411
0.5,0,0.95,0.024,0.487,0.0863884799182415,487
0.5,1,0.952,0.018,0.485,0.08022629097104073,485
0.5,2,0.96,0.02,0.49,0.09416428580880165,490
0.5,3,0.956,0.018,0.487,0.06647319719195366,487
0.5,4,0.966,0.02,0.493,0.06661756709218025,493
0.5,5,0.958,0.02,0.489,0.0771932415664196,489
0.5,6,0.958,0.02,0.489,0.1256215013563633,489
0.5,7,0.964,0.018,0.491,0.09737726673483849,491
0.5,8,0.956,0.02,0.488,0.09489024803042412,488
0.5,9,0.958,0.014,0.486,0.06908246502280235,486
